Name,Rating,href,attributes,Latitude,Longitude
Bikanervala,4,https://www.google.com/maps/place/Bikanervala/data=!4m7!3m6!1s0x390cc1d4228c1061:0x75ff916bded82a53!8m2!3d28.4631779!4d77.5107742!16s%2Fg%2F1pp2vgrn3!19sChIJYRCMItTBDDkRUyrY3muR_3U?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMBMAyQ2V95EWXXV2y7sc-aHM99SvuYMpPJor6G=w122-h92-k-no,28.4631779,77.5107742
Rubaab Restaurant Jagat Farm Greater Noida,4.1,https://www.google.com/maps/place/Rubaab+Restaurant+Jagat+Farm+Greater+Noida/data=!4m7!3m6!1s0x390cea6c227983b3:0x3ecb6829face0584!8m2!3d28.482035!4d77.4983199!16s%2Fg%2F124t3044q!19sChIJs4N5ImzqDDkRhAXO-iloyz4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOueUaPc2aHWMU_adFeQIDck1Mv5X049LyveCMU=w146-h92-k-no,28.482035,77.4983199
Sagar Ratna Greater Noida,4.2,https://www.google.com/maps/place/Sagar+Ratna+Greater+Noida/data=!4m7!3m6!1s0x390cc170844b8233:0x5cfb4dd76d18aeae!8m2!3d28.4636748!4d77.5109594!16s%2Fg%2F11gj4kk2x_!19sChIJM4JLhHDBDDkRrq4YbddN-1w?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOphJCKTBkCeRIuYTnhMKVeaFrcZ6F2hOeFVWM0=w163-h92-k-no,28.4636748,77.5109594
The Royal Kitchen,4,https://www.google.com/maps/place/The+Royal+Kitchen/data=!4m7!3m6!1s0x390cea6ea075e563:0x6c5249ba0ce063c!8m2!3d28.4820474!4d77.4989132!16s%2Fg%2F11f57dj49m!19sChIJY-V1oG7qDDkRPAbOoJskxQY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMNnqgtcEolIggGxjR-UV_3Kb1rGlAskANzz-dd=w80-h106-k-no,28.4820474,77.4989132
The Royal Kitchen,4,https://www.google.com/maps/place/The+Royal+Kitchen/data=!4m7!3m6!1s0x390cea6ea075e563:0x6c5249ba0ce063c!8m2!3d28.4820474!4d77.4989132!16s%2Fg%2F11f57dj49m!19sChIJY-V1oG7qDDkRPAbOoJskxQY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMNnqgtcEolIggGxjR-UV_3Kb1rGlAskANzz-dd=w80-h106-k-no,28.4730328,77.5040533
Paatra,4.3,https://www.google.com/maps/place/Paatra/data=!4m7!3m6!1s0x390cea895f63764b:0x346460a57de8974b!8m2!3d28.4697606!4d77.5173385!16s%2Fg%2F12q4yp2s3!19sChIJS3ZjX4nqDDkRS5fofaVgZDQ?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOWW8TeHSZ81WNz019kRS8Lsyv3F7OOC3rUTRh2=w163-h92-k-no,28.4697606,77.5173385
Sanjha chulha Restaurant,3.9,https://www.google.com/maps/place/Sanjha+chulha+Restaurant/data=!4m7!3m6!1s0x390cea6940000075:0x4d0da9b68f5bc6b0!8m2!3d28.4814751!4d77.4996849!16s%2Fg%2F11bwf7fngy!19sChIJdQAAQGnqDDkRsMZbj7apDU0?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOyrzNIStTWa3jd6jol5fqvNwl0hCM67H35oum8=w163-h92-k-no,28.4814751,77.4996849
Swagath Restaurant,4,https://www.google.com/maps/place/Swagath+Restaurant/data=!4m7!3m6!1s0x390cc1d66c22075f:0xa89811c406987b0e!8m2!3d28.451285!4d77.5087582!16s%2Fg%2F1tg7qd33!19sChIJXwcibNbBDDkRDnuYBsQRmKg?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP6SVMF2w2jU9hiLo6Hq7w-8noJ6UH4TTVh4QcX=w138-h92-k-no,28.451285,77.5087582
Swagath Restaurant,4,https://www.google.com/maps/place/Swagath+Restaurant/data=!4m7!3m6!1s0x390cc1d66c22075f:0xa89811c406987b0e!8m2!3d28.451285!4d77.5087582!16s%2Fg%2F1tg7qd33!19sChIJXwcibNbBDDkRDnuYBsQRmKg?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP6SVMF2w2jU9hiLo6Hq7w-8noJ6UH4TTVh4QcX=w138-h92-k-no,28.4915235,77.4893663
Swagath Restaurant,3.9,https://www.google.com/maps/place/Swagath+Restaurant/data=!4m7!3m6!1s0x390cea1055555551:0xffedf1d42df38353!8m2!3d28.4915235!4d77.4893663!16s%2Fg%2F124t59gb6!19sChIJUVVVVRDqDDkRU4PzLdTx7f8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPHDMBAbcHvpsQwSwMBMxI5zWDTDPQrNwRg9Hv5=w137-h92-k-no,28.451285,77.5087582
Swagath Restaurant,3.9,https://www.google.com/maps/place/Swagath+Restaurant/data=!4m7!3m6!1s0x390cea1055555551:0xffedf1d42df38353!8m2!3d28.4915235!4d77.4893663!16s%2Fg%2F124t59gb6!19sChIJUVVVVRDqDDkRU4PzLdTx7f8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPHDMBAbcHvpsQwSwMBMxI5zWDTDPQrNwRg9Hv5=w137-h92-k-no,28.4915235,77.4893663
Taste Of Dilli,3.9,https://www.google.com/maps/place/Taste+Of+Dilli/data=!4m7!3m6!1s0x390cea7ee9aaaac7:0x5f4ce9d1233ced3f!8m2!3d28.471903!4d77.51285!16s%2Fg%2F11b775j_fd!19sChIJx6qq6X7qDDkRP-08I9HpTF8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOT2LhuKxb6NofZgCpL38qBB74a7UsJOp-oQBnR=w134-h92-k-no,28.471903,77.51285
Simply South,4.1,https://www.google.com/maps/place/Simply+South/data=!4m7!3m6!1s0x390cea709a5e4597:0xe06ee8a57f489a55!8m2!3d28.4827405!4d77.4980741!16s%2Fg%2F1tmxpd2k!19sChIJl0VemnDqDDkRVZpIf6XobuA?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOZZCtDf-CO2ZTomXxgN2jEUXscnZI23pEP5YnC=w122-h92-k-no,28.4827405,77.4980741
Golden Spoon,4.1,https://www.google.com/maps/place/Golden+Spoon/data=!4m7!3m6!1s0x390cebc311f0e5b5:0x31d08cffd3b6440d!8m2!3d28.4777778!4d77.5174919!16s%2Fg%2F11h7bx1lw5!19sChIJteXwEcPrDDkRDUS20_-M0DE?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNE3rkadIca9y0urC_v7IcSXW7_a3owrSnhBrz-=w80-h106-k-no,28.4777778,77.5174919
Restaurant Greater Noida - LA TERRACE CAFE,4.8,https://www.google.com/maps/place/Restaurant+Greater+Noida+-+LA+TERRACE+CAFE/data=!4m7!3m6!1s0x390ceb38a19317eb:0xa63a612db8c18c99!8m2!3d28.4706705!4d77.5116899!16s%2Fg%2F11fmqnj4ky!19sChIJ6xeToTjrDDkRmYzBuC1hOqY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOvK1T48c9bx3IjOieIVwRVQ4BkffAm0aLZAEOd=w125-h92-k-no,28.4706705,77.5116899
YU TURN Restaurant,4,https://www.google.com/maps/place/YU+TURN+Restaurant/data=!4m7!3m6!1s0x390cea80c367743d:0xf5f221cc057bcdc6!8m2!3d28.4282927!4d77.5167574!16s%2Fg%2F1tdxtdb4!19sChIJPXRnw4DqDDkRxs17Bcwh8vU?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPMJyHVbyUUvXJNCjJ74RQ8PXNdaHi6VxwuWK1V=w122-h92-k-no,28.4282927,77.5167574
Mosaic Restaurant,4.4,https://www.google.com/maps/place/Mosaic+Restaurant/data=!4m7!3m6!1s0x390ce97e0c87b117:0xf7e7efc5f4dc4a0f!8m2!3d28.5143316!4d77.4690745!16s%2Fg%2F11b6lh_js9!19sChIJF7GHDH7pDDkRD0rc9MXv5_c?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPFEdPl14Zzq09fBGmuL4sEtj1lcocX5nTIUIY=w163-h92-k-no,28.5143316,77.4690745
Zaika Restaurant Greater Noida,4,https://www.google.com/maps/place/Zaika+Restaurant+Greater+Noida/data=!4m7!3m6!1s0x390ceb8375a9b0b9:0x9eef813ce78cfe5f!8m2!3d28.471042!4d77.5114809!16s%2Fg%2F11sm8qjdt6!19sChIJubCpdYPrDDkRX_6M5zyB754?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOWpQ0n8qqBknpdiGNH0-PIO8466Tzea6aqA-cg=w122-h92-k-no,28.471042,77.5114809
Ice N Fire Restaurant,4.6,https://www.google.com/maps/place/Ice+N+Fire+Restaurant/data=!4m7!3m6!1s0x390ceb0fb3b40185:0xdd104343ee926bca!8m2!3d28.4780588!4d77.517771!16s%2Fg%2F11q_l9q47z!19sChIJhQG0sw_rDDkRymuS7kNDEN0?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOp7C6AsDlDL-75G9YCklHntAO-4YNk3MxxRuun=w138-h92-k-no,28.4780588,77.517771
Bhai Jee Restaurant,4.1,https://www.google.com/maps/place/Bhai+Jee+Restaurant/data=!4m7!3m6!1s0x390ceba78a19d93d:0x47831d3df09f34a4!8m2!3d28.4726081!4d77.5143753!16s%2Fg%2F11g10khnxv!19sChIJPdkZiqfrDDkRpDSf8D0dg0c?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOKMcBS2Em1jUVTKXmThfkDU8TG-cd_gkA2UUxk=w121-h92-k-no,28.4726081,77.5143753
Classic Family Restaurant,4,https://www.google.com/maps/place/Classic+Family+Restaurant/data=!4m7!3m6!1s0x390cea67b6aa49c9:0xd08fdde491130baf!8m2!3d28.4873781!4d77.5063857!16s%2Fg%2F124s_rw_f!19sChIJyUmqtmfqDDkRrwsTkeTdj9A?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipO9zZPXWcFoa3azRIXdPWTdWNXzReamcbM0sniy=w163-h92-k-no,28.4873781,77.5063857
Satin Greater Noida- A Chinese & Thai Cuisine Restaurant,4.3,https://www.google.com/maps/place/Satin+Greater+Noida-+A+Chinese+%26+Thai+Cuisine+Restaurant/data=!4m7!3m6!1s0x390cc173dae356ef:0xc4c422af152f503!8m2!3d28.4497589!4d77.527715!16s%2Fg%2F11gh7rwhg4!19sChIJ71bj2nPBDDkRA_VS8SpCTAw?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMywxiwcepx2WsBzVg8p0WXy7KbhDUkFa5bs43h=w163-h92-k-no,28.4497589,77.527715
