title,link,rating,reviews,Price,extensions,thumbnails,current_url,Latitude,Longitude
"Crowne Plaza Greater Noida, an IHG Hotel",https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegQIAxAv&qs=MidDaGtJaU83aDYtSEhvNGlqQVJvTUwyY3ZNWEIwZG5GaU0zQmZFQUU4DQ&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.4,12855,"₹6,705","['5-star hotel', 'Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness center', 'Spa', 'Bar']","['https://lh5.googleusercontent.com/p/AF1QipPrwlCh2SiJ4pqMkS8z81R_l5XhfO74ppoBmCEU=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOfWEDGYrS8Ww28RU6_5J8uXI4FCoS1sxGnNyiM=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipO8efUoPIu4r3_NoLK0p-rsC4DUB-jj_aAIBXTM=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNQlhHhS-94nQa0lg-bwmg38_0dN3XVtsMB65e-=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMeh6d550DIMlv3qYLwfP56cfNmF2Ia6bQNOCDK=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMhjdRxG3bJ3avBYp9m7WWwpeRB5lPx3YDqcxkg=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Crowne+Plaza+Greater+Noida,+an+IHG+Hotel/@28.5137534,77.4690035,17z/data=!3m1!4b1!4m9!3m8!1s0x390ce97e10444a3f:0xa3108e3e1d787708!5m2!4m1!1i2!8m2!3d28.5137534!4d77.4690035!16s%2Fg%2F1ptvqb3p_?entry=ttu",28.5137534,77.4690035
The Park Residency Greater Noida,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegQIAxBK&qs=MihDaG9JNjd2Vml0aS1zcTZwQVJvTkwyY3ZNVEZtTVRBMmJIcDJPUkFCOA0&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,3.9,479,"₹1,911","['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Kid-friendly']","['https://lh5.googleusercontent.com/p/AF1QipOv7UuaEV3nT5pcm1f3vDX9830NyIrWVyEnHj8F=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNMa0Z3J9wTZ3mYsg5KC39Uy-Qx1uMSBP5-ya5I=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPPJN6fcXx-EfXTDGTzn6sp_KMJzWYmAvZ7f1FI=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WL6UB8XFfv8GUggL-ydLxZ45b2qqaKV7waSOTx0JAO-lh1SSLyXn49Lx6Va0D7KAdWMGmHwnnfSeVHi333LcVRUbJm-xKMcJjyAD22C4NLQmSLGV5HvkpQ8-0W2wXzyipipjFQAF-8ESdVWchFiVSFCfEq7A4hvvyRtmEO4-R3v1nyIKZYvtyHz8A=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WJc2lW1uyoeARYY2Fryh4PQdJW_9WGy20PxCFkCEQ9ymsRnT50f6y9HH-z_TP3U1dKtrqWbLASmaa6uqA0q6fDfY6FkHgYENfagQnBaCVWDo5U7L4IUcEjqVKz2_Et3BOKPLr5bSO-l-5t-lEuSbxSb9RZHSeol7fxc1ngCUZXjkDKUIRP0cD9v=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WJZLsLnofMiXeMWCyjIJgjjTvZQkN_vhXcgPcTTsx30FDmYiWqm37nANpw7X2uApcaGsYDOZX4QerFa35GN5aOOk927XpfK-LsJg38jGDVw_f4FSrq-ZEjGnIbgW_-mN3JIhB33bIdFS5X7QiYy0x1XGbFLD3Sm1DaVJvVMFLt9M7bj6hOklJOv=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/The+Park+Residency+Greater+Noida/@28.4570867,77.5032202,17z/data=!3m1!4b1!4m9!3m8!1s0x390cc1da92d76101:0xa95cc9f581555deb!5m2!4m1!1i2!8m2!3d28.4570867!4d77.5032202!16s%2Fg%2F11f106lzv9?entry=ttu",28.4570867,77.5032202
Lime Tree Hotel & Banquet Greater Noida,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegQIAxBh&qs=MihDaG9JOThqNXpkYVd3LVduQVJvTkwyY3ZNVEYwWkhJM2F6TnhkQkFCOA0&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.6,604,"₹2,183","['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","['https://lh3.googleusercontent.com/gps-proxy/AMy85WLRol5stU1daq7UnQqX_ScYrin6t1qZHG8pm4GTjvI3tqd4KWuqvPbfctXTN-EqWBeBlyfO3Y2jDYzUbQCJGLajHreyC0JX3L_SdDQLkP_jz3nhZnMwwc0Cu9A87A5svhPck5gUh8YLDF4Lc9h1_E6i-pZyyLvKvwyu0F7PBl9OXa_j3CuPI0uy=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WJfl7clrQlahVa7UH0uKN5L7tTpT8hUB-S_HWA-iAIgv2EjjbJ-BEzKbzWVp_z5oXAvjyoapbyL-LbOd4hYV6e2TU0aVXb3UQjimSLAAUT1BC1D2KGbSaVRlZl5iY1sllVB9g8x8TdFK08T9s8Amhzw3jaDVM-LtDW774oNIxttRW4KOyBTqxC-=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WI8HUN9mBnCC5nhgP-NZfBbESqO9SnLqedHk7MdNcLlnyAuWsQx98YkuMwgU-OJHg4LXC7lz4Ls-xXcwmf_zI4JqxmdJ9LufqN_Qr_n5Kyu5ALuVrq3WQzOXeiWE2Hs_lq3Vnr4s97WijD5EyQ18XBMNUwP-ePIew7gELYf6b5ZCUmHe54fwLrSTQ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNqZGGvuLdF85JKOfJRyl9Y1SfvMIKXDSXGVbcm=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPqOx75LWOqsa0RrN0JDOrlZX5PbbhvfG2MzBIZ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMqsbg1nvvj7GbvQmFozgwCZ90QphAxWyx2zTcP=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Lime+Tree+Hotel+%26+Banquet+Greater+Noida/@28.455554,77.5056943,17z/data=!3m1!4b1!4m9!3m8!1s0x390cc1dbf4bbedbb:0xa7cb0cb569be6477!5m2!4m1!1i2!8m2!3d28.455554!4d77.5056943!16s%2Fg%2F11tdr7k3qt?entry=ttu",28.455554,77.5056943
Radisson Blu Hotel Greater Noida,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegQIAxB9&qs=MiZDaGdJaUlieV9PZkx1dWUyQVJvTEwyY3ZNWFJuTnpkbVltZ1FBUTgN&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.5,7059,"₹5,640","['4-star hotel', 'Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness center', 'Spa', 'Bar']","['https://lh5.googleusercontent.com/p/AF1QipPe-KnivfWzv5oIpHSzUyU76SktWDt2mB_vx4QL=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WIf5coA_79SqoGcFZNtddWmfMKqt0QUTXIxVP5GCrSgrMdpAlLLKFJV51_9UhwNhmLt7bW_qggZK1tAFohOVa8802RY3Oi9oGBCGIP659uYpsjbcK_EZE6Qo_DDJtweMnLQRdfxBgUABH7LKJbzcUcrmQzvbZ5rf-dKK0P8_8m5SG8NXXI56AGwGQ=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMIYEwpFMoT7ba0w8OOk0XDkxl3qA699DARfk-t=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WLGuNGmS6FMCYtCF0pc_QpeBwtPozBNuZl81m26gXL7O_mXP_70K9lEYvs54cMt6oA_cRk80s_7NVZ7x64iZ85ktHBdg4n9CSwEcOPJHQaqh2K53veRa_6FLzizRZyzs8JLKAOK_jPKxc6jbVr2HjnKkkGVEcP6OTYJsCRw9A0OkL2DR0FYGEu6ww=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WJDNkFmfh-xmC_h4VnPxCmX_QOZyJufvJtaUhQpOl2TJk8sui_XkpL-XkLzXUar4LKqhwGMURQQo48mFBxpd1T25Gbt0fqqDu8Xc5EqF8RLyNg92plwKHnQ5F9uOLzwsggaeavV-l3sbSplabA1xW-mLw7uKtDsVx_up5ErHMx0QW4wrZAZiLa4tg=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WKVw31B-3flcBeOkYhyU9e4WUBj8okoDVtbIvXmynUo8irbaE0hky0PKbkLCspZYGUAexWtKXNLoevQhGjNnO6bi8KeR0uMIRGNkf6uSSBk5-3DraHgUVn8zokPHcreyBo8bR2YjUNkpIcz1CgROTv5ccKauTueuaCJUXMFiaK3XJgKGM057-E=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Radisson+Blu+Hotel+Greater+Noida/@28.449954,77.5279105,17z/data=!3m1!4b1!4m9!3m8!1s0x390ce4530415cd65:0xb6ceea5e7f9c8308!5m2!4m1!1i2!8m2!3d28.449954!4d77.5279105!16s%2Fg%2F1tg77fbh?entry=ttu",28.449954,77.5279105
"Savoy Suites, Greater Noida",https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxCUAQ&qs=MidDaGtJNm9ULWdMQ1hzc3NlR2cwdlp5OHhNV1I0WkRsZmN6ZzBFQUU4DQ&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.4,2503,"₹3,324","['4-star hotel', 'Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness center', 'Restaurant']","['https://lh5.googleusercontent.com/p/AF1QipPlda2cYEC7q9sKgAgqkW4zkDG5WcbLAuprH2Ez=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WL0-wHybOWH_vAFuLDb37O_8RJaJ3Mqp3Y2rRprMunN-b1geewsRCoT9ct1txEv7X5pYngw40FbUYhw_7S6wtXrBJ4vAlmYyW5TS0NZPZoMhrm3v-NiIz0XKPY80CZlApT1FcE_gxhcv6hn-bItIK9RTRrv7G5XiLxHtqhMgug40OAyj_Vihdp-=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNF4LzvNQMHqYjMPw0WgDKkEmigxnMOUsMaALbV=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOzN0GjH_KFvQ4XVr0UM5UeOgj7DLcp_kxmMlL6=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMh6gCIucaKM4MxoEOfbTRPTbyxFtVe15NPVW4v=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WJlw8YF3sSu7uzCj9uX_76LUyshAijqXWuwV9RRB0US_JTYjHK_N7UfkQFc-rpsg69C-jF0g7-s_8gkYn75QzZEpZmwyTFScagXKVbGDDErWIjAn2pO0S-iGDnk9k8KpSbQAekVaOSfjwl_L5M9T-fENIRLcVOLRZ5_o6y1hid6WoSeKDAN8PCrFA=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Savoy+Suites,+Greater+Noida/@28.4648924,77.5083136,17z/data=!3m1!4b1!4m9!3m8!1s0x390cc1d65b587031:0x1e96c8bb001f826a!5m2!4m1!1i2!8m2!3d28.4648924!4d77.5083136!16s%2Fg%2F11dxd9_s84?entry=ttu",28.4648924,77.5083136
Culture by BVH Hospitality Greater Noida,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxCrAQ&qs=MidDaGtJX1otbmdKT3AtYWdKR2cwdlp5OHhNWFJ3TkRobmFqVm5FQUU4DQ&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.6,47,"₹2,387",[],"['https://lh3.googleusercontent.com/gps-proxy/AMy85WIgbRfaQejqp-xfxf-C0HMmbxHThU9mHSaLXJwnDs_rBPVLt2y_AIn6UpsfuaqAwV6xlXEoExrdWoaLCcoG8n2jF1Ac5H-jpJOly1XQnkfs6s7Xoh-BVXVEM5nx4fq6vLbosQIi5LgZxbutiKJbnMp-xJbHK8c4Qf4wfByOw45vUw354nXuB1Si=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPRsY2XsLFt3449nrjUapA6XRjbYPs3_0i7AxpI=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMj_as4VJdTsmhAr9tlXgDRkwQ7duwAwNNIaxc6=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipP8B7IylYh2G76p0D4q4V0Z7xOz4DcnoTxg-lkM=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOOA1Yd_H06unA725fV4bLpWqkm24t42qQKRq2A=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WIXTO0eXhOlxDqifFBGsDcycCcIU_FnB5pMgdaP7rSvUC1Mjrk9NKt1ZI2nm4WztlDpxZnNMIIwGXqp4CI24qgI63C3svAAd0Y9MH38kCYrajYmYdj6I_0Pmif7WUjD0RWz4UkIwdj0z2uq9E5rKiMNs0cfLxaqYXfXs5G8gvMYLpz-3OxSOyNn=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Culture+by+BVH+Hospitality+Greater+Noida/@28.4782179,77.4928974,17z/data=!3m1!4b1!4m9!3m8!1s0x390cea1a83be5a3b:0x951e5493009cffd!5m2!4m1!1i2!8m2!3d28.4782179!4d77.4928974!16s%2Fg%2F11tp48gj5g?entry=ttu",28.4782179,77.4928974
"Ginger Greater Noida, Pari Chowk",https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxDBAQ&qs=MihDaG9JeHJLbmhyMjI1OGVuQVJvTkwyY3ZNVEZvWDJ0bk1taHRjUkFCOA0&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.3,761,"₹4,255","['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","['https://lh3.googleusercontent.com/gps-proxy/AMy85WK06pFU14APp6GmIHFQYtP6HB4Dnn33eerk8e1xsa2LkkClFg5_w_L9iXjFLQyXShnuTLp1zQrSrXewETAE90cRV-lS42lllhUHB-7Hd-htttusBZRWJ0btQbWjXYLatcXO6ZY7Rv4k-SRPZSF1s-oRaqIYAJxouKerZ3WTq9TYdxrJONXeqj5nEw=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOoktGQYiHceJrX15NK4oz4NulqosTyhqY9VLN_=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN303_N22uY0f490wOb62wMW6Sm29SsBNoe2i7E=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN02V4-FCCD20kKmm8je-z8BiwW5Iw78VfYHqMW=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPUGqFdFO6kSavvvBENpCumXdke8WMjnnWNZ6-I=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPc5yHQB7BpRZAf9xpKINHD05VdfGAJLUBn5cGS=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Ginger+Greater+Noida,+Pari+Chowk/@28.4682261,77.5079216,17z/data=!3m1!4b1!4m9!3m8!1s0x390ceb20859a5763:0xa78f9db3d0c9d946!5m2!4m1!1i2!8m2!3d28.4682261!4d77.5079216!16s%2Fg%2F11h_kg2hmq?entry=ttu",28.4682261,77.5079216
Regenta Inn Greater Noida by Royal Orchid Hotels,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxDYAQ&qs=MihDaG9JLXZxSXBQNzNxYlhNQVJvTkwyY3ZNVEZ6WW5vMFpucG9PQkFCOA0&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.5,144,"₹2,464","['Breakfast ($)', 'Wi-Fi ($)', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Accessible']","['https://lh5.googleusercontent.com/p/AF1QipMEKXy-gmfWYR5TYwPbEtHMwzfA8BD36AtGBZhb=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPQyxa8pjSmbYj4TfkZxu6LGodroeu2bYj7P1Js=s287-w287-h192-n-k-no-v1', 'https://lh3.googleusercontent.com/gps-proxy/AMy85WIouAIlVsNKOKPvbfysC8pqNZD2Wd2apqxh7nr5fV1w5VHd0hDpA75orw5tKgIHwysvsIImGpBVwr0jQSkOPHy6o8aKXrXrOP2VPa-dG8nwyrJGQDRC6KhqV_Er7nt_yhVhe6xkE3tQbO4TNU4Ty-N4LS7pc6rErszHsEwn62A_0ir0imyRYRKC=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN1a93pegWluYw23AK7jJkF6tFZOqerzZs7dfmA=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNd1iBIoGahmvl-g1w42_kpQcBuqakTDl33sBPy=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPKanbHvV50yY3c2j4Kw01wdJWpaC93QFiHvoSk=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Regenta+Inn+Greater+Noida+by+Royal+Orchid+Hotels/@28.4587748,77.5431487,17z/data=!3m1!4b1!4m9!3m8!1s0x390cc14afed2d42f:0xcc6aa7bfe4823d7a!5m2!4m1!1i2!8m2!3d28.4587748!4d77.5431487!16s%2Fg%2F11sbz4fzh8?entry=ttu",28.4587748,77.5431487
Le Seasons Park,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxDvAQ&qs=MidDaGtJM2EzVHhPajNnOXdMR2cwdlp5OHhNWEpmZGpKNk1XdG1FQUU4DQ&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.5,159,"₹3,420","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Kitchen in some rooms', 'Full-service laundry', 'Accessible']","['https://lh5.googleusercontent.com/p/AF1QipPkf84drh5Ezzh9Upg9gzsHu6VMSERY4obj_jTq=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNKxfH7lI9WjkXagzgExofGAq3rVDbnAMETrOib=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPAtCmtSaNK5v2SrQ2TySzQuG5mBrWzoAR1W3hR=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNedyapoQ0Di7-lvxGFOtREQUswOYrbYVS8GPfc=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPrQjGNq77y-2JQVXCGGxJ6foNtKtEHpTVJRbXl=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMDrI6yEiF62wVU8fOTYSApe3Gf8lUrg-MUKDRE=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/Le+Seasons+Park/@28.4554055,77.5211726,17z/data=!3m1!4b1!4m9!3m8!1s0x390cc15c0e9f84b5:0xbb80fbe8894d6dd!5m2!4m1!1i2!8m2!3d28.4554055!4d77.5211726!16s%2Fg%2F11r_v2z1kf?entry=ttu",28.4554055,77.5211726
The Dwelling Paradise - Hotel & Restaurant,https://www.google.com/travel/search?q=Greater%20Noida%20hotels&ved=2ahUKEwie-Zzk8-GDAxUCpGYCHQVLCdAQyvcEegUIAxCGAg&qs=MihDaG9JbmRtMmliaVBvWmlrQVJvTkwyY3ZNVEZ3TTJod2VHb3hjaEFCOA0&ts=CAEaOgocEhoKCS9tLzBjdzlxMjoNR3JlYXRlciBOb2lkYRIaEhQKBwjoDxABGBoSBwjoDxABGBsYATICEAAqBwoFOgNJTlI,4.6,413,"₹1,250","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Kid-friendly']","['https://lh3.googleusercontent.com/gps-proxy/AMy85WLA_LHxKI6E_tqDjW8pfeMRSUU_zZ9SbyDpNEMEW4Wbh10TbvZfpU7xPreWzF3g1UWyZxF-ZO0RJDEf9ES-JWm4FsrR2Ss81ZL-5OOhZKJiNmEXTAfAqfiMG2xqB7eo7V6pcK0Sr7uDxQ0y6EjoX24LB11-V8PKnDZ8U91WvsH7nzyhW5bB0Foz=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMXRgmRaaAwP-ifYgCGHX1ywqmOjSU1GowcXgvx=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOv-hd1JXqJScNid5v25hcsvy-Jazkta-JHvPYh=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOPCwIOoacDGCjhK4qX6aSOdAIGQFDvk9uZ4-sm=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN4eoTs0ouGmlslqTGG3vNagoex3uR94zeXHRR3=s287-w287-h192-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN_DkBx8nuC2hD5-kfYYPhoAMQI8a726GIxu8Rf=s287-w287-h192-n-k-no-v1']","https://www.google.com/maps/place/The+Dwelling+Paradise+-+Hotel+%26+Restaurant/@28.4784186,77.5048442,17z/data=!3m1!4b1!4m9!3m8!1s0x390cebbb2fa8ce89:0xa430847b812dac9d!5m2!4m1!1i2!8m2!3d28.4784186!4d77.5048442!16s%2Fg%2F11p3hpxj1r?entry=ttu",28.4784186,77.5048442
